Crustal model                   3D_Pelop_average_VP_do100km 
number of layers 
  191
Parameters of the layers
depth of layer top(km)   Vp(km/s)    Vs(km/s)    Rho(g/cm**3)    Qp      Qs
    3.64213              5.44503      3.24109    2.77339        486.16  324.10
    3.82925              5.49948      3.27350    2.77672        491.02  327.35
    4.11600              5.55448      3.30624    2.78008        495.93  330.62
    4.62188              5.61003      3.33931    2.78348        500.89  333.93
    4.99988              5.64803      3.36192    2.78580        504.28  336.19
    5.000                5.968       3.361       2.900          504.15  336.10
   10.000                6.113       3.443       2.900          516.44  344.29
   15.000                6.391       3.598       3.000          539.70  359.80
   20.000                6.631       3.737       3.000          560.54  373.69
   25.000                6.755       3.824       3.100          900.    600.  
   30.000                6.911       3.927       3.100          900.    600.  
   35.000                7.087       4.042       3.100          900.    600.  
   40.000                7.397       4.251       3.200          900.    600.  
   45.000                7.733       4.428       3.200          900.    600.  
   50.000                7.979       4.537       3.300          900.    600.  
   55.000                8.115       4.591       3.300          900.    600.
   60.000                8.150       4.608       3.300          900.    600.
   65.000                8.222       4.660       3.300          900.    600.
   70.000                8.279       4.702       3.400          900.    600.
   75.000                8.313       4.716       3.400          900.    600.
   80.000                8.336       4.723       3.400          900.    600.
   85.000                8.370       4.735       3.400          900.    600.
   90.000                8.415       4.751       3.400          900.    600.
   95.000                8.439       4.768       3.400          900.    600.
  100.000                8.453       4.777       3.400          900.    600.
******************************************************************************
